hour_number_dec,hour_number,price,demand,capacity
2023-12-28 10:00:00,20231228-10,30.58,15616,25507
2023-12-28 11:00:00,20231228-11,30.44,15951,25665
2023-12-28 12:00:00,20231228-12,30.74,16253,25749
2023-12-28 13:00:00,20231228-13,30.95,16310,25742
2023-12-28 14:00:00,20231228-14,30.8,16275,25661
2023-12-28 15:00:00,20231228-15,30.74,16295,25654
2023-12-28 16:00:00,20231228-16,30.74,16390,25621
2023-12-28 17:00:00,20231228-17,29.92,16795,25727
2023-12-28 18:00:00,20231228-18,30.83,17247,25878
2023-12-28 19:00:00,20231228-19,30.61,16933,25938
2023-12-28 20:00:00,20231228-20,27.37,16594,25419
2023-12-28 21:00:00,20231228-21,28.53,16349,26022
2023-12-28 22:00:00,20231228-22,29.96,15832,25615
2023-12-28 23:00:00,20231228-23,27.03,15063,24839
2023-12-29 00:00:00,20231229-0,25.89,14312,26422
