hour_number,price,to_drop,demand,capacity
20231221-14,29.03,DSO-RD;,17070,27543
20231221-15,29.43,DSO-RD;,17395,27452
20231221-16,29.67,DSO-RD;,17959,27227
20231221-17,29.69,DSO-RD;,18817,27057
20231221-18,29.51,DSO-RD;,19625,27132
20231221-19,31.82,DSO-RD;,19359,27118
20231221-20,34.61,DSO-RD;,19224,27079
20231221-21,43.18,DSO-RD;,19005,27077
20231221-22,37.16,DSO-RD;,18430,27100
20231221-23,34.85,DSO-RD;,17323,27049
20231221-24,29.4,DSO-RD;,16201,26991
20240221-1,25.26,DSO-RD;,15473,26702
20240221-2,20.17,DSO-RD;,15026,26900
20240221-3,20.41,DSO-RD;,14848,27018
20240221-4,15.43,DSO-RD;,14845,27139
20240221-5,17.26,DSO-RD;,15144,27256
20240221-6,23.21,DSO-RD;,15598,27388
20240221-7,26.61,DSO-RD;,16776,27478
20240221-8,26.8,DSO-RD;,17758,27264
20240221-9,26.96,DSO-RD;,17612,27250
20240221-10,25.41,DSO-RD;,17084,26969
20240221-11,26.78,DSO-RD;,16702,26949
20240221-12,22.51,DSO-RD;,16369,26921
20240221-13,20.72,DSO-RD;,15695,27038
20240221-14,20.16,ADMIN;,15815,27111
20240221-15,21.98,ADMIN;,15926,27178
20240221-16,19.19,DSO-RD;,16475,27599
20240221-17,20.69,DSO-RD;,17194,27564
20240221-18,24.84,DSO-RD;,17999,27941
20240221-19,27.59,DSO-RD;,18195,27756
20240221-20,23.02,DSO-RD;,17897,27866
20240221-21,19.81,DSO-RD;,17473,28241
20240221-22,21.96,DSO-RD;,16791,28277
20240221-23,20.36,DSO-RD;,15831,28190
20240221-24,21.32,DSO-RD;,15035,28202
20240209-1,14.34,DSO-RD;,14310,27658
20240209-2,14.75,DSO-RD;,13901,27662
20240209-3,14.33,DSO-RD;,13698,27483
20240209-4,14.33,DSO-RD;,13727,27642
20240209-5,15.55,DSO-RD;,13812,27618
20240209-6,16.87,DSO-RD;,14268,27077
20240209-7,23.63,DSO-RD;,15331,27622
20240209-8,25.22,DSO-RD;,16496,27592
20240209-9,24.34,DSO-RD;,16664,28001
20240209-10,23.25,DSO-RD;,16422,28320
20240209-11,15.61,DSO-RD;,16105,28256
20240209-12,14.34,DSO-RD;,15558,28365
20240209-13,14.32,DSO-RD;,15531,28313
20240209-14,14.34,DSO-RD;,15707,28389
20240209-15,17.78,DSO-RD;,15743,28395
20240209-16,26.58,DSO-RD;,16142,28225
20240209-17,23.67,DSO-RD;,16684,27973
20240209-18,27.11,DSO-RD;,17056,27259
20240209-19,27.53,DSO-RD;,17057,27251
20240209-20,25.22,DSO-RD;,16815,27285
20240209-21,25.16,DSO-RD;,16416,27148
20240209-22,24.55,DSO-RD;,15861,27659
20240209-23,19.55,DSO-RD;,15063,26873
20240209-24,10.91,DSO-RD;,14095,26719
20240225-1,27.58,DSO-RD;,15309,26462
20240225-2,27.43,DSO-RD;,14915,26861
20240225-3,26.23,DSO-RD;,14755,26465
20240225-4,26.22,DSO-RD;,14518,26598
20240225-5,26.23,DSO-RD;,14535,26765
20240225-6,22.63,DSO-RD;,14686,26810
20240225-7,22.63,DSO-RD;,14977,26989
20240225-8,26.22,DSO-RD;,15316,27271
20240225-9,22.93,DSO-RD;,15341,27474
20240225-10,14.36,DSO-RD;,15048,27708
20240225-11,14.37,DSO-RD;,14668,27918
20240225-12,6.11,DSO-RD;,14533,28042
20240225-13,8.83,DSO-RD;,14518,28093
20240225-14,20.51,DSO-RD;,14777,28084
20240225-15,23.36,DSO-RD;,15227,28045
20240225-16,23.18,DSO-RD;,16062,28004
20240225-17,24.77,DSO-RD;,16856,27649
20240225-18,27.52,DSO-RD;,17555,27538
20240225-19,26.6,DSO-RD;,17713,27596
20240225-20,27.67,DSO-RD;,17425,27521
20240225-21,28.95,DSO-RD;,17075,27305
20240225-22,26.96,DSO-RD;,16623,27141
20240225-23,24.24,DSO-RD;,15757,26903
20240225-24,22.03,DSO-RD;,14587,26588
20240219-1,23.77,DSO-RD;,15497,26706
20240219-2,26.08,DSO-RD;,15279,26426
20240219-3,26.59,DSO-RD;,15201,26023
20240219-4,30.06,DSO-RD;,15075,25633
20240219-5,27.31,DSO-RD;,15288,25438
20240219-6,27.37,DSO-RD;,15547,25219
20240219-7,29.65,DSO-RD;,16134,25057
20240219-8,27.57,DSO-RD;,16581,25039
